data,numero_pedido,cliente,estado,cidade,vendedor,produto,categoria,quantidade,preco_unitario,desconto,custo_unitario,forma_pagamento,faturamento_bruto,valor_desconto,faturamento_liquido,custo,lucro_bruto,margem_percentual
2025-01-04,PED-2025-00798,Ponto Varejo 078,PR,Maringá,Ana Martins,Roteador Empresarial,Conectividade,3,761.2,0.08,361.49,Cartão de crédito,2283.6,182.69,2100.91,1084.47,1016.44,0.48381
2025-01-05,PED-2025-00775,Alfa Engenharia 151,SP,Santos,Ana Martins,Toner Preto,Impressão,1,345.1,0.05,145.65,Pix,345.1,17.26,327.84,145.65,182.2,0.555735
2025-01-05,PED-2025-00903,Nova Comercial 137,PE,Recife,Gustavo Ribeiro,Monitor Ultrawide 29,Informática,2,1828.19,0.0,1188.38,Transferência,3656.38,0.0,3656.38,2376.76,1279.62,0.349969
2025-01-05,PED-2025-01114,Ponto Distribuidora 028,RJ,Rio de Janeiro,Gustavo Ribeiro,Cadeira Ergonômica,Móveis,3,1446.52,0.0,790.93,Cartão de crédito,4339.56,0.0,4339.56,2372.79,1966.77,0.453219
2025-01-05,PED-2025-01114,Ponto Distribuidora 028,RJ,Rio de Janeiro,Gustavo Ribeiro,Filtro de Linha Premium,Energia,1,118.09,0.05,51.55,Cartão de crédito,118.09,5.9,112.19,51.55,60.64,0.540493
2025-01-06,PED-2025-00214,Central Engenharia 103,SP,Campinas,Lucas Barros,Kit Toner Colorido,Impressão,1,858.57,0.03,394.84,Pix,858.57,25.76,832.81,394.84,437.97,0.525896
2025-01-06,PED-2025-00214,Central Engenharia 103,SP,Campinas,Lucas Barros,Toner Preto,Impressão,4,321.28,0.0,147.74,Pix,1285.12,0.0,1285.12,590.96,694.16,0.540152
2025-01-06,PED-2025-00595,Prime Comercial 089,PR,Curitiba,Bruno Costa,Kit Toner Colorido,Impressão,7,895.99,0.03,416.06,Transferência,6271.93,188.16,6083.77,2912.42,3171.35,0.521281
2025-01-06,PED-2025-00652,Prime Tecnologia 099,GO,Anápolis,Gustavo Ribeiro,Mouse Sem Fio,Acessórios,2,154.81,0.08,67.37,Cartão de débito,309.62,24.77,284.85,134.74,150.11,0.52698
2025-01-06,PED-2025-00652,Prime Tecnologia 099,GO,Anápolis,Gustavo Ribeiro,Teclado Mecânico,Acessórios,1,405.7,0.0,197.85,Cartão de débito,405.7,0.0,405.7,197.85,207.85,0.512324
2025-01-06,PED-2025-00652,Prime Tecnologia 099,GO,Anápolis,Gustavo Ribeiro,Toner Preto,Impressão,8,330.66,0.0,146.3,Cartão de débito,2645.28,0.0,2645.28,1170.4,1474.88,0.557552
2025-01-06,PED-2025-00687,Horizonte Comercial 065,PE,Olinda,Ana Martins,Headset Corporativo,Acessórios,1,326.14,0.1,154.88,Boleto,326.14,32.61,293.53,154.88,138.65,0.472347
2025-01-06,PED-2025-01035,Horizonte Comercial 105,GO,Goiânia,Lucas Barros,Gaveteiro Executivo,Móveis,4,706.58,0.0,359.1,Transferência,2826.32,0.0,2826.32,1436.4,1389.92,0.491777
2025-01-06,PED-2025-01035,Horizonte Comercial 105,GO,Goiânia,Lucas Barros,Teclado Mecânico,Acessórios,1,379.7,0.1,189.47,Transferência,379.7,37.97,341.73,189.47,152.26,0.445556
2025-01-06,PED-2025-01042,Aurora Distribuidora 212,MG,Uberlândia,Ana Martins,Teclado Mecânico,Acessórios,3,405.68,0.1,187.53,Boleto,1217.04,121.7,1095.34,562.59,532.75,0.486377
2025-01-07,PED-2025-00175,Vértice Varejo 110,MG,Belo Horizonte,Ana Martins,Toner Preto,Impressão,3,329.57,0.0,147.93,Transferência,988.71,0.0,988.71,443.79,544.92,0.551142
2025-01-07,PED-2025-00325,Conecta Varejo 174,SP,Campinas,Ana Martins,Teclado Mecânico,Acessórios,4,409.31,0.12,194.11,Boleto,1637.24,196.47,1440.77,776.44,664.33,0.461094
2025-01-07,PED-2025-00383,Horizonte Comercial 065,PR,Curitiba,Fernanda Alves,Switch 24 Portas,Conectividade,3,1132.64,0.08,630.78,Cartão de crédito,3397.92,271.83,3126.09,1892.34,1233.75,0.394662
2025-01-07,PED-2025-00553,Ponto Logística 178,BA,Vitória da Conquista,Camila Rocha,Notebook Pro 15,Informática,1,4808.51,0.0,3398.32,Boleto,4808.51,0.0,4808.51,3398.32,1410.19,0.29327
2025-01-07,PED-2025-00553,Ponto Logística 178,BA,Vitória da Conquista,Camila Rocha,Roteador Empresarial,Conectividade,1,736.28,0.0,378.25,Boleto,736.28,0.0,736.28,378.25,358.03,0.486269
2025-01-07,PED-2025-00578,Prime Tecnologia 179,SP,Santos,Ana Martins,Teclado Mecânico,Acessórios,5,385.33,0.15,190.84,Transferência,1926.65,289.0,1637.65,954.2,683.45,0.417337
2025-01-07,PED-2025-00691,Aurora Varejo 062,SC,Joinville,Fernanda Alves,Notebook Essencial 14,Informática,4,2961.07,0.08,2059.42,Cartão de crédito,11844.28,947.54,10896.74,8237.68,2659.06,0.244023
2025-01-07,PED-2025-00823,Integra Distribuidora 076,SP,Santos,Fernanda Alves,Filtro de Linha Premium,Energia,1,118.34,0.08,49.77,Cartão de crédito,118.34,9.47,108.87,49.77,59.1,0.542861
2025-01-07,PED-2025-00890,Prime Engenharia 079,RS,Caxias do Sul,Ana Martins,Headset Corporativo,Acessórios,6,328.29,0.05,153.9,Cartão de débito,1969.74,98.49,1871.25,923.4,947.85,0.506534
2025-01-07,PED-2025-00890,Prime Engenharia 079,RS,Caxias do Sul,Ana Martins,Toner Preto,Impressão,1,327.14,0.0,143.33,Cartão de débito,327.14,0.0,327.14,143.33,183.81,0.56187
2025-01-08,PED-2025-00668,Integra Varejo 166,PR,Maringá,Fernanda Alves,Mesa Ajustável,Móveis,1,1929.34,0.0,1023.51,Pix,1929.34,0.0,1929.34,1023.51,905.83,0.469503
2025-01-08,PED-2025-00668,Integra Varejo 166,PR,Maringá,Fernanda Alves,Switch 24 Portas,Conectividade,1,1135.6,0.08,615.08,Pix,1135.6,90.85,1044.75,615.08,429.67,0.411267
2025-01-08,PED-2025-00668,Integra Varejo 166,PR,Maringá,Fernanda Alves,Toner Preto,Impressão,3,341.27,0.0,148.1,Pix,1023.81,0.0,1023.81,444.3,579.51,0.566033
2025-01-08,PED-2025-00675,Nova Serviços 077,SP,São Paulo,Lucas Barros,Switch 24 Portas,Conectividade,5,1103.9,0.03,634.25,Pix,5519.5,165.58,5353.92,3171.25,2182.66,0.407676
2025-01-08,PED-2025-00675,Nova Serviços 077,SP,São Paulo,Lucas Barros,Teclado Mecânico,Acessórios,1,406.79,0.0,198.06,Pix,406.79,0.0,406.79,198.06,208.73,0.513115
2025-01-08,PED-2025-00741,Alfa Tecnologia 171,PE,Olinda,Lucas Barros,Teclado Mecânico,Acessórios,5,394.6,0.03,189.9,Boleto,1973.0,59.19,1913.81,949.5,964.31,0.503869
2025-01-08,PED-2025-00741,Alfa Tecnologia 171,PE,Olinda,Lucas Barros,Webcam Full HD,Acessórios,3,286.63,0.0,129.13,Boleto,859.89,0.0,859.89,387.39,472.5,0.549489
2025-01-08,PED-2025-01073,Nova Serviços 157,RS,Porto Alegre,Diego Lima,Headset Corporativo,Acessórios,4,337.99,0.0,163.37,Transferência,1351.96,0.0,1351.96,653.48,698.48,0.516643
2025-01-09,PED-2025-00062,Central Serviços 133,RJ,Rio de Janeiro,Fernanda Alves,Headset Corporativo,Acessórios,3,321.54,0.08,157.01,Boleto,964.62,77.17,887.45,471.03,416.42,0.469232
2025-01-09,PED-2025-00280,Ponto Distribuidora 148,SP,Santos,Bruno Costa,Access Point Wi-Fi 6,Conectividade,3,901.75,0.08,486.64,Pix,2705.25,216.42,2488.83,1459.92,1028.91,0.413411
2025-01-09,PED-2025-00280,Ponto Distribuidora 148,SP,Santos,Bruno Costa,Mouse Sem Fio,Acessórios,2,152.79,0.05,67.42,Pix,305.58,15.28,290.3,134.84,155.46,0.535517
2025-01-09,PED-2025-00428,Nova Serviços 037,SP,São Paulo,Juliana Mendes,Filtro de Linha Premium,Energia,1,119.19,0.1,50.2,Pix,119.19,11.92,107.27,50.2,57.07,0.532026
2025-01-09,PED-2025-00546,Horizonte Tecnologia 195,BA,Feira de Santana,Diego Lima,Kit Toner Colorido,Impressão,1,898.6,0.05,414.15,Transferência,898.6,44.93,853.67,414.15,439.52,0.514859
2025-01-09,PED-2025-00908,Integra Varejo 006,SP,Santos,Camila Rocha,Access Point Wi-Fi 6,Conectividade,2,916.34,0.0,465.84,Boleto,1832.68,0.0,1832.68,931.68,901.0,0.49163
2025-01-09,PED-2025-00950,Integra Varejo 086,SP,São Paulo,Camila Rocha,Cadeira Ergonômica,Móveis,2,1367.06,0.12,799.28,Pix,2734.12,328.09,2406.03,1598.56,807.47,0.335601
2025-01-09,PED-2025-00950,Integra Varejo 086,SP,São Paulo,Camila Rocha,Mouse Sem Fio,Acessórios,2,149.6,0.08,67.04,Pix,299.2,23.94,275.26,134.08,141.18,0.512904
2025-01-09,PED-2025-00950,Integra Varejo 086,SP,São Paulo,Camila Rocha,Nobreak 1500VA,Energia,1,1174.02,0.0,675.12,Pix,1174.02,0.0,1174.02,675.12,498.9,0.42495
2025-01-10,PED-2025-00085,Aurora Distribuidora 092,SP,São Paulo,Bruno Costa,Monitor Ultrawide 29,Informática,1,1776.52,0.0,1154.22,Boleto,1776.52,0.0,1776.52,1154.22,622.3,0.350292
2025-01-10,PED-2025-00241,Prime Tecnologia 139,SP,Campinas,Gustavo Ribeiro,Impressora Multifuncional,Impressão,3,1653.59,0.05,1042.33,Cartão de débito,4960.77,248.04,4712.73,3126.99,1585.74,0.33648
2025-01-10,PED-2025-00253,Ponto Distribuidora 188,RS,Pelotas,Lucas Barros,Cadeira Ergonômica,Móveis,3,1365.54,0.08,787.7,Cartão de crédito,4096.62,327.73,3768.89,2363.1,1405.79,0.372998
2025-01-10,PED-2025-00253,Ponto Distribuidora 188,RS,Pelotas,Lucas Barros,Filtro de Linha Premium,Energia,2,124.29,0.05,52.4,Cartão de crédito,248.58,12.43,236.15,104.8,131.35,0.556216
2025-01-10,PED-2025-00470,Cliente não informado,SP,Ribeirão Preto,Bruno Costa,Filtro de Linha Premium,Energia,1,122.3,0.1,52.15,Pix,122.3,12.23,110.07,52.15,57.92,0.526211
2025-01-10,PED-2025-00470,Nova Engenharia 047,SP,Ribeirão Preto,Bruno Costa,Impressora Multifuncional,Impressão,4,1642.09,0.15,1005.88,Pix,6568.36,985.25,5583.11,4023.52,1559.59,0.27934
2025-01-10,PED-2025-00470,Nova Engenharia 047,SP,Ribeirão Preto,Bruno Costa,Notebook Pro 15,Informática,4,5000.61,0.03,3431.75,Pix,20002.44,600.07,19402.37,13727.0,5675.37,0.292509
2025-01-10,PED-2025-00597,Horizonte Serviços 205,PE,Caruaru,Lucas Barros,Filtro de Linha Premium,Energia,2,123.07,0.12,52.6,Cartão de débito,246.14,29.54,216.6,105.2,111.4,0.514319
2025-01-10,PED-2025-00597,Horizonte Serviços 205,PE,Caruaru,Lucas Barros,Gaveteiro Executivo,Móveis,9,710.58,0.12,363.87,Cartão de débito,6395.22,767.43,5627.79,3274.83,2352.96,0.418097
2025-01-10,PED-2025-00597,Horizonte Serviços 205,PE,Caruaru,Lucas Barros,Teclado Mecânico,Acessórios,5,380.57,0.15,187.1,Cartão de débito,1902.85,285.43,1617.42,935.5,681.92,0.421611
2025-01-10,PED-2025-01118,Vértice Distribuidora 220,GO,Anápolis,Diego Lima,Filtro de Linha Premium,Energia,1,117.2,0.08,51.08,Boleto,117.2,9.38,107.82,51.08,56.74,0.526265
2025-01-12,PED-2025-00056,Central Serviços 133,MG,Juiz de Fora,Lucas Barros,Switch 24 Portas,Conectividade,3,1077.12,0.0,622.67,Boleto,3231.36,0.0,3231.36,1868.01,1363.35,0.421912
2025-01-12,PED-2025-00056,Central Serviços 133,MG,Juiz de Fora,Lucas Barros,Teclado Mecânico,Acessórios,3,388.83,0.03,187.29,Boleto,1166.49,34.99,1131.5,561.87,569.63,0.503427
2025-01-12,PED-2025-00146,Nova Engenharia 167,SP,Campinas,Fernanda Alves,Mesa Ajustável,Móveis,1,1903.33,0.1,1073.99,Transferência,1903.33,190.33,1713.0,1073.99,639.01,0.373035
2025-01-12,PED-2025-00224,Prime Comercial 009,RJ,Niterói,Ana Martins,Kit Toner Colorido,Impressão,5,882.37,0.15,414.29,Boleto,4411.85,661.78,3750.07,2071.45,1678.62,0.447624
2025-01-12,PED-2025-00722,Integra Varejo 166,MG,Belo Horizonte,Fernanda Alves,Access Point Wi-Fi 6,Conectividade,1,910.3,0.05,491.36,Boleto,910.3,45.52,864.78,491.36,373.42,0.431813
2025-01-13,PED-2025-00573,Aurora Logística 122,SC,Blumenau,Gustavo Ribeiro,Cadeira Ergonômica,Móveis,2,1379.54,0.05,790.12,Cartão de débito,2759.08,137.95,2621.13,1580.24,1040.89,0.397114
2025-01-13,PED-2025-00573,Aurora Logística 122,SC,Blumenau,Gustavo Ribeiro,Headset Corporativo,Acessórios,4,325.11,0.0,162.04,Cartão de débito,1300.44,0.0,1300.44,648.16,652.28,0.501584
2025-01-13,PED-2025-00727,Alfa Tecnologia 171,BA,Vitória da Conquista,Lucas Barros,Monitor Ultrawide 29,Informática,5,1796.53,0.12,1198.32,Cartão de crédito,8982.65,1077.92,7904.73,5991.6,1913.13,0.242024
2025-01-13,PED-2025-00727,Alfa Tecnologia 171,BA,Vitória da Conquista,Lucas Barros,Webcam Full HD,Acessórios,1,285.86,0.0,134.0,Cartão de crédito,285.86,0.0,285.86,134.0,151.86,0.531239
2025-01-13,PED-2025-01101,Integra Varejo 126,GO,Goiânia,Lucas Barros,Notebook Essencial 14,Informática,3,2929.36,0.0,2093.51,Cartão de crédito,8788.08,0.0,8788.08,6280.53,2507.55,0.285335
2025-01-14,PED-2025-00156,Alfa Serviços 021,SP,Santos,Diego Lima,Teclado Mecânico,Acessórios,5,395.73,0.03,190.26,Cartão de crédito,1978.65,59.36,1919.29,951.3,967.99,0.504348
2025-01-14,PED-2025-00198,Integra Distribuidora 036,SP,São Paulo,Bruno Costa,Mesa Ajustável,Móveis,1,1932.74,0.0,1018.04,Cartão de crédito,1932.74,0.0,1932.74,1018.04,914.7,0.473266
2025-01-14,PED-2025-00284,Alfa Tecnologia 051,MG,Belo Horizonte,Bruno Costa,Access Point Wi-Fi 6,Conectividade,2,874.34,0.0,477.18,Cartão de crédito,1748.68,0.0,1748.68,954.36,794.32,0.45424
2025-01-14,PED-2025-00663,Conecta Varejo 174,RS,Caxias do Sul,Camila Rocha,Filtro de Linha Premium,Energia,7,120.86,0.05,50.85,Boleto,846.02,42.3,803.72,355.95,447.77,0.557121
2025-01-14,PED-2025-00663,Conecta Varejo 174,RS,Caxias do Sul,Camila Rocha,Notebook Essencial 14,Informática,1,2775.78,0.05,2084.43,Boleto,2775.78,138.79,2636.99,2084.43,552.56,0.209542
2025-01-14,PED-2025-01063,Nova Engenharia 167,PE,Caruaru,Gustavo Ribeiro,Webcam Full HD,Acessórios,2,279.05,0.03,128.08,Cartão de crédito,558.1,16.74,541.36,256.16,285.2,0.526819
2025-01-14,PED-2025-01081,Ponto Logística 098,RJ,Rio de Janeiro,Diego Lima,Teclado Mecânico,Acessórios,3,402.94,0.0,188.3,Transferência,1208.82,0.0,1208.82,564.9,643.92,0.532685
2025-01-14,PED-2025-01081,Ponto Logística 098,RJ,Rio de Janeiro,Diego Lima,Toner Preto,Impressão,3,337.78,0.0,147.94,Transferência,1013.34,0.0,1013.34,443.82,569.52,0.562023
2025-01-15,PED-2025-00544,Prime Comercial 089,SP,Ribeirão Preto,Ana Martins,Mesa Ajustável,Móveis,1,1936.83,0.08,1058.08,Cartão de crédito,1936.83,154.95,1781.88,1058.08,723.8,0.406201
2025-01-15,PED-2025-00544,Prime Comercial 089,SP,Ribeirão Preto,Ana Martins,Switch 24 Portas,Conectividade,6,1099.49,0.1,622.01,Cartão de crédito,6596.94,659.69,5937.25,3732.06,2205.19,0.371416
2025-01-15,PED-2025-00963,Prime Serviços 189,PR,Maringá,Juliana Mendes,Switch 24 Portas,Conectividade,1,1149.73,0.12,612.98,Boleto,1149.73,137.97,1011.76,612.98,398.78,0.394146
2025-01-15,PED-2025-00963,Prime Serviços 189,PR,Maringá,Juliana Mendes,Teclado Mecânico,Acessórios,1,393.69,0.1,193.55,Boleto,393.69,39.37,354.32,193.55,160.77,0.453744
2025-01-15,PED-2025-00963,Prime Serviços 189,PR,Maringá,Juliana Mendes,Toner Preto,Impressão,5,317.35,0.05,149.59,Boleto,1586.75,79.34,1507.41,747.95,759.46,0.503819
2025-01-15,PED-2025-01013,Nova Engenharia 007,RJ,Niterói,Lucas Barros,Switch 24 Portas,Conectividade,1,1152.87,0.05,601.88,Cartão de crédito,1152.87,57.64,1095.23,601.88,493.35,0.450452
2025-01-16,PED-2025-00158,Cliente não informado,RJ,Rio de Janeiro,Juliana Mendes,Roteador Empresarial,Conectividade,3,746.22,0.0,363.73,Pix,2238.66,0.0,2238.66,1091.19,1147.47,0.51257
2025-01-16,PED-2025-00295,Vértice Distribuidora 180,SP,Santos,Bruno Costa,Kit Toner Colorido,Impressão,1,851.89,0.12,394.77,Cartão de crédito,851.89,102.23,749.66,394.77,354.89,0.473404
2025-01-16,PED-2025-00346,Conecta Varejo 054,SP,Campinas,Fernanda Alves,Webcam Full HD,Acessórios,2,274.33,0.05,129.42,Pix,548.66,27.43,521.23,258.84,262.39,0.503403
2025-01-16,PED-2025-00448,Horizonte Comercial 065,SP,Santos,Juliana Mendes,Monitor Ultrawide 29,Informática,2,1737.43,0.12,1160.78,Pix,3474.86,416.98,3057.88,2321.56,736.32,0.240793
2025-01-16,PED-2025-00448,Horizonte Comercial 065,SP,Santos,Juliana Mendes,Notebook Essencial 14,Informática,2,2812.01,0.12,1991.88,Pix,5624.02,674.88,4949.14,3983.76,965.38,0.19506
2025-01-16,PED-2025-00524,Conecta Distribuidora 204,MG,Uberlândia,Gustavo Ribeiro,Mouse Sem Fio,Acessórios,1,152.89,0.05,69.67,Boleto,152.89,7.64,145.25,69.67,75.58,0.520329
2025-01-16,PED-2025-00619,Nova Tecnologia 027,RJ,Petrópolis,Fernanda Alves,Cadeira Ergonômica,Móveis,2,1388.87,0.12,759.18,Pix,2777.74,333.33,2444.41,1518.36,926.05,0.378844
2025-01-16,PED-2025-00619,Nova Tecnologia 027,RJ,Petrópolis,Fernanda Alves,Impressora Multifuncional,Impressão,1,1629.16,0.0,1011.62,Pix,1629.16,0.0,1629.16,1011.62,617.54,0.379054
2025-01-17,PED-2025-00165,Aurora Logística 042,SP,Campinas,Fernanda Alves,Roteador Empresarial,Conectividade,5,765.01,0.15,367.7,Cartão de crédito,3825.05,573.76,3251.29,1838.5,1412.79,0.434533
2025-01-17,PED-2025-00165,Aurora Logística 042,SP,Campinas,Fernanda Alves,Switch 24 Portas,Conectividade,3,1100.12,0.05,604.4,Cartão de crédito,3300.36,165.02,3135.34,1813.2,1322.14,0.42169
2025-01-17,PED-2025-00613,Integra Logística 146,DF,Brasília,Diego Lima,Filtro de Linha Premium,Energia,6,121.97,0.15,49.59,Pix,731.82,109.77,622.05,297.54,324.51,0.521676
2025-01-17,PED-2025-00613,Integra Logística 146,DF,Brasília,Diego Lima,Roteador Empresarial,Conectividade,6,780.83,0.05,377.25,Pix,4684.98,234.25,4450.73,2263.5,2187.23,0.491432
2025-01-18,PED-2025-00191,Ponto Varejo 078,PR,Curitiba,Camila Rocha,Filtro de Linha Premium,Energia,7,121.87,0.03,51.9,Cartão de crédito,853.09,25.59,827.5,363.3,464.2,0.560965
2025-01-18,PED-2025-00191,Ponto Varejo 078,PR,Curitiba,Camila Rocha,Mesa Ajustável,Móveis,2,1788.51,0.1,1080.76,Cartão de crédito,3577.02,357.7,3219.32,2161.52,1057.8,0.328578
2025-01-18,PED-2025-00386,Ponto Logística 098,SP,Santos,Camila Rocha,Impressora Multifuncional,Impressão,1,1536.58,0.0,1026.98,Cartão de crédito,1536.58,0.0,1536.58,1026.98,509.6,0.331646
2025-01-18,PED-2025-00386,Ponto Logística 098,SP,Santos,Camila Rocha,Notebook Pro 15,Informática,4,4720.36,0.03,3418.25,Cartão de crédito,18881.44,566.44,18315.0,13673.0,4642.0,0.253453
2025-01-18,PED-2025-00388,Integra Soluções 096,SP,Ribeirão Preto,Camila Rocha,Gaveteiro Executivo,Móveis,1,675.0,0.12,374.48,Transferência,675.0,81.0,594.0,374.48,219.52,0.369562
2025-01-18,PED-2025-00497,Nova Engenharia 047,RJ,Niterói,Ana Martins,Filtro de Linha Premium,Energia,3,115.69,0.03,51.39,Boleto,347.07,10.41,336.66,154.17,182.49,0.542057
2025-01-18,PED-2025-00497,Nova Engenharia 047,RJ,Niterói,Ana Martins,Headset Corporativo,Acessórios,3,320.63,0.12,159.31,Boleto,961.89,115.43,846.46,477.93,368.53,0.43538
2025-01-18,PED-2025-00653,Nova Tecnologia 067,BA,Vitória da Conquista,Bruno Costa,Switch 24 Portas,Conectividade,1,1115.11,0.03,624.13,Cartão de crédito,1115.11,33.45,1081.66,624.13,457.53,0.422987
2025-01-18,PED-2025-00653,Nova Tecnologia 067,BA,Vitória da Conquista,Bruno Costa,Webcam Full HD,Acessórios,2,270.62,0.1,136.96,Cartão de crédito,541.24,54.12,487.12,273.92,213.2,0.43767
2025-01-18,PED-2025-01089,Nova Serviços 157,SP,Santos,Ana Martins,Filtro de Linha Premium,Energia,6,122.06,0.15,53.02,Cartão de crédito,732.36,109.85,622.51,318.12,304.39,0.488969
2025-01-18,PED-2025-01089,Nova Serviços 157,SP,Santos,Ana Martins,Mouse Sem Fio,Acessórios,2,152.35,0.05,70.33,Cartão de crédito,304.7,15.24,289.46,140.66,148.8,0.514069
2025-01-19,PED-2025-00662,Aurora Distribuidora 132,SP,Santos,Diego Lima,Monitor Ultrawide 29,Informática,5,1726.23,0.08,1181.1,Pix,8631.15,690.49,7940.66,5905.5,2035.16,0.256296
2025-01-19,PED-2025-00662,Aurora Distribuidora 132,SP,Santos,Diego Lima,Mouse Sem Fio,Acessórios,2,152.11,0.0,67.32,Pix,304.22,0.0,304.22,134.64,169.58,0.557426
2025-01-19,PED-2025-00662,Aurora Distribuidora 132,SP,Santos,Diego Lima,Notebook Pro 15,Informática,6,5076.63,0.08,3330.96,Pix,30459.78,2436.78,28023.0,19985.76,8037.24,0.286809
2025-01-19,PED-2025-01131,Vértice Soluções 160,SP,Campinas,Ana Martins,Nobreak 1500VA,Energia,1,1166.42,0.05,672.37,Cartão de débito,1166.42,58.32,1108.1,672.37,435.73,0.393222
