data,numero_pedido,cliente,estado,cidade,vendedor,produto,categoria,quantidade,preco_unitario,desconto,custo_unitario,forma_pagamento
2025-03-05,PED-2025-00010,Integra Logística 066,SP,Santos,Lucas Barros,Impressora Multifuncional,Impressão,2,1595.42,0.1,985.55,Cartão de crédito
2025-04-11,PED-2025-00011,Ponto Logística 098,MG,Uberlândia,Lucas Barros,Teclado Mecânico,Acessórios,1,389.71,0.0,197.35,Cartão de crédito
2025-01-04,PED-2025-00012,Nova Tecnologia 067,SP,Ribeirão Preto,Fernanda Alves,Teclado Mecânico,Acessórios,7,378.08,0.12,189.33,Pix
2025-01-04,PED-2025-00012,Nova Tecnologia 067,SP,Ribeirão Preto,Fernanda Alves,Toner Preto,Impressão,1,326.82,0.1,149.88,Pix
2025-12-18,PED-2025-00013,Vértice Distribuidora 140,GO,Goiânia,Camila Rocha,Filtro de Linha Premium,Energia,4,119.8,0.15,52.65,Cartão de crédito
2025-02-03,PED-2025-00014,Vértice Logística 050,PE,Caruaru,Lucas Barros,Roteador Empresarial,Conectividade,2,725.41,0.1,363.72,Cartão de crédito
2025-01-02,PED-2025-00015,Ponto Soluções 008,SP,Ribeirão Preto,Ana Martins,Mouse Sem Fio,Acessórios,6,"R$ 146,55",0.03,69.66,Cartão de débito
27/04/2025,PED-2025-00016,Integra Soluções 096,MG,Juiz de Fora,Bruno Costa,Monitor Ultrawide 29,Informática,4,1799.97,0.08,1172.39,Pix
2025-06-02,PED-2025-00017,Integra Varejo 006,BA,Salvador,Gustavo Ribeiro,Monitor Ultrawide 29,Informática,4,1766.88,0.05,1179.02,Cartão de crédito
2025-04-25,PED-2025-00018,Aurora Distribuidora 212,SP,Ribeirão Preto,Lucas Barros,Impressora Multifuncional,Impressão,3,1664.67,0.08,1045.66,Pix
2025-04-25,PED-2025-00018,Aurora Distribuidora 212,SP,Ribeirão Preto,Lucas Barros,Notebook Essencial 14,Informática,2,2978.52,0.0,1974.83,Pix
2025-04-16,PED-2025-00019,Aurora Varejo 102,BA,Vitória da Conquista,Bruno Costa,Nobreak 1500VA,Energia,2,1188.01,0.08,695.74,Cartão de crédito
2025-04-16,PED-2025-00019,Aurora Varejo 102,BA,Vitória da Conquista,Bruno Costa,Impressora Multifuncional,Impressão,1,1560.27,0.1,1037.43,Cartão de crédito
2025-12-17,PED-2025-00020,Horizonte Comercial 105,SP,São Paulo,Fernanda Alves,Teclado Mecânico,Acessórios,4,384.3,0.0,187.79,Pix
2025-12-17,PED-2025-00020,Horizonte Comercial 105,SP,São Paulo,Fernanda Alves,Monitor Ultrawide 29,Informática,2,1746.53,0.0,1173.2,Pix
2025-07-08,PED-2025-00021,Central Engenharia 183,RJ,Petrópolis,Camila Rocha,Access Point Wi-Fi 6,Conectividade,2,900.16,0.05,465.31,Cartão de crédito
2025-07-08,PED-2025-00021,Central Engenharia 183,RJ,Petrópolis,Camila Rocha,Notebook Pro 15,Informática,1,4717.27,0.12,3341.13,Cartão de crédito
2025-11-02,PED-2025-00022,Central Serviços 053,PE,Caruaru,Lucas Barros,Toner Preto,Impressão,2,331.07,0.1,146.35,Cartão de débito
2025-11-02,PED-2025-00022,Central Serviços 053,PE,Caruaru,Lucas Barros,Roteador Empresarial,Conectividade,2,737.0,0.0,369.27,Cartão de débito
2025-03-02,PED-2025-00023,Horizonte Tecnologia 075,SP,Campinas,Camila Rocha,Headset Corporativo,Acessórios,1,344.88,0.12,158.58,Boleto
2025-10-09,PED-2025-00024,Aurora Distribuidora 212,MG,Belo Horizonte,Juliana Mendes,Mesa Ajustável,Móveis,1,1809.7,0.08,1071.46,Cartão de crédito
2025-10-09,PED-2025-00024,Aurora Distribuidora 212,MG,Belo Horizonte,Juliana Mendes,Impressora Multifuncional,Impressão,2,1540.01,0.1,985.67,Cartão de crédito
2025-07-10,PED-2025-00025,Aurora Distribuidora 212,SP,Ribeirão Preto,Lucas Barros,Roteador Empresarial,Conectividade,1,758.82,0.0,372.83,Cartão de débito
2025-07-10,PED-2025-00025,Aurora Distribuidora 212,SP,Ribeirão Preto,Lucas Barros,Switch 24 Portas,Conectividade,1,1132.9,0.05,614.02,Cartão de débito
2025-09-23,PED-2025-00026,Conecta Logística 114,BA,Vitória da Conquista,Diego Lima,Monitor Ultrawide 29,Informática,4,1826.54,0.03,1198.15,Cartão de crédito
2025-09-23,PED-2025-00026,Conecta Logística 114,BA,Vitória da Conquista,Diego Lima,Notebook Essencial 14,Informática,3,2869.13,0.03,1981.69,Cartão de crédito
2025-09-23,PED-2025-00026,Conecta Logística 114,BA,Vitória da Conquista,Diego Lima,Toner Preto,Impressão,3,328.81,0.05,149.08,Cartão de crédito
2025-03-06,PED-2025-00027,Vértice Soluções 080,GO,Anápolis,Juliana Mendes,Filtro de Linha Premium,Energia,5,116.38,0.1,51.74,Boleto
2025-02-14,PED-2025-00028,Ponto Soluções 008,PR,Curitiba,Gustavo Ribeiro,Switch 24 Portas,Conectividade,1,1119.79,0.03,630.92,Pix
2025-09-27,PED-2025-00029,Nova Engenharia 087,SP,Ribeirão Preto,Lucas Barros,Access Point Wi-Fi 6,Conectividade,1,861.64,0.12,464.63,Cartão de débito
2025-03-31,PED-2025-00030,Ponto Distribuidora 188,SP,São Paulo,Juliana Mendes,Toner Preto,Impressão,1,322.9,0.1,142.2,Pix
2025-03-31,PED-2025-00030,Ponto Distribuidora 188,SP,São Paulo,Juliana Mendes,Notebook Pro 15,Informática,4,5034.2,0.08,3518.01,Pix
2025-03-31,PED-2025-00030,Ponto Distribuidora 188,SP,São Paulo,Juliana Mendes,Notebook Essencial 14,Informática,2,2905.63,0.1,2048.48,Pix
2025-02-01,PED-2025-00031,Prime Tecnologia 179,SP,Ribeirão Preto,Gustavo Ribeiro,Kit Toner Colorido,Impressão,7,848.15,0.08,394.05,Pix
2025-03-21,PED-2025-00032,Alfa Tecnologia 091,SC,Blumenau,Bruno Costa,Filtro de Linha Premium,Energia,1,121.97,0.05,49.99,Pix
2025-04-01,PED-2025-00033,Central Serviços 093,RJ,Petrópolis,Fernanda Alves,Filtro de Linha Premium,Energia,2,120.22,0.0,49.95,Cartão de crédito
01/04/2025,PED-2025-00033,Central Serviços 093,RJ,Petrópolis,Fernanda Alves,Monitor Ultrawide 29,Informática,3,1787.34,0.08,1176.73,Cartão de crédito
2025-12-21,PED-2025-00034,Horizonte Comercial 185,RJ,Niterói,Bruno Costa,Notebook Pro 15,Informática,2,4793.68,0.05,3452.85,Cartão de crédito
2025-08-04,PED-2025-00035,Vértice Logística 130,PR,Maringá,Gustavo Ribeiro,Mesa Ajustável,Móveis,2,1861.37,0.1,1073.33,Boleto
2025-08-04,PED-2025-00035,Vértice Logística 130,PR,Maringá,Gustavo Ribeiro,Webcam Full HD,Acessórios,4,281.81,0.1,130.95,Boleto
2025-07-09,PED-2025-00036,Vértice Logística 010,MG,Juiz de Fora,Ana Martins,Notebook Essencial 14,Informática,3,2856.04,0.1,1961.48,Pix
2025-07-09,PED-2025-00036,Vértice Logística 010,MG,Juiz de Fora,Ana Martins,Teclado Mecânico,Acessórios,1,387.37,0.0,194.32,Pix
2025-09-01,PED-2025-00037,Alfa Engenharia 111,RJ,Rio de Janeiro,Lucas Barros,Teclado Mecânico,Acessórios,1,396.79,0.0,189.05,Transferência
2025-09-01,PED-2025-00037,Alfa Engenharia 111,RJ,Rio de Janeiro,Lucas Barros,Toner Preto,Impressão,3,320.75,0.1,151.73,Transferência
2025-12-16,PED-2025-00038,Nova Comercial 177,BA,Feira de Santana,Lucas Barros,Headset Corporativo,Acessórios,7,329.58,0.05,154.93,Pix
2025-04-22,PED-2025-00039,Nova Engenharia 207,PE,Recife,Ana Martins,Cadeira Ergonômica,Móveis,5,1344.92,0.0,792.37,Pix
2025-11-08,PED-2025-00040,Vértice Logística 090,PR,Londrina,Gustavo Ribeiro,Headset Corporativo,Acessórios,4,341.78,0.05,161.76,Cartão de crédito
2025-09-09,PED-2025-00041,Horizonte Engenharia 095,MG,Juiz de Fora,Lucas Barros,Headset Corporativo,Acessórios,2,328.54,0.12,160.24,Cartão de crédito
2025-09-09,PED-2025-00041,Horizonte Engenharia 095,MG,Juiz de Fora,Lucas Barros,Cadeira Ergonômica,Móveis,1,1358.37,0.0,796.89,Cartão de crédito
2025-09-10,PED-2025-00042,Aurora Soluções 032,RJ,Niterói,Fernanda Alves,Toner Preto,Impressão,3,334.21,0.05,149.4,Pix
2025-08-26,PED-2025-00043,Central Engenharia 063,RS,Pelotas,Lucas Barros,Monitor Ultrawide 29,Informática,1,1823.78,0.15,1205.15,Cartão de débito
2025-08-26,PED-2025-00043,Central Engenharia 063,RS,Pelotas,Lucas Barros,Kit Toner Colorido,Impressão,3,903.17,0.03,396.36,Cartão de débito
2025-04-19,PED-2025-00044,Aurora Distribuidora 212,RS,Porto Alegre,Diego Lima,Filtro de Linha Premium,Energia,3,116.02,0.05,52.33,Transferência
2025-04-08,PED-2025-00045,Central Serviços 053,BA,Vitória da Conquista,Ana Martins,Monitor Ultrawide 29,Informática,3,1843.05,0.1,1185.24,Boleto
2025-05-24,PED-2025-00046,Vértice Soluções 200,SP,Ribeirão Preto,Bruno Costa,Notebook Pro 15,Informática,1,4871.04,0.12,3478.18,Cartão de crédito
2025-05-24,PED-2025-00046,Vértice Soluções 200,SP,Ribeirão Preto,Bruno Costa,Cadeira Ergonômica,Móveis,1,1377.94,0.1,763.01,Cartão de crédito
2025-09-17,PED-2025-00047,Integra Logística 026,RJ,Niterói,Camila Rocha,Notebook Essencial 14,Informática,3,2984.41,0.15,2001.31,Transferência
2025-10-10,PED-2025-00048,Nova Tecnologia 027,SP,Campinas,Fernanda Alves,Impressora Multifuncional,Impressão,2,1545.63,0.03,984.45,Transferência
2025-10-10,PED-2025-00048,Nova Tecnologia 027,SP,Campinas,Fernanda Alves,Headset Corporativo,Acessórios,4,330.16,0.08,157.06,Transferência
2025-06-14,PED-2025-00049,Aurora Distribuidora 212,GO,Anápolis,Juliana Mendes,Filtro de Linha Premium,Energia,1,124.91,0.05,52.12,Cartão de crédito
2025-03-20,PED-2025-00050,Integra Varejo 006,SC,Joinville,Camila Rocha,Monitor Ultrawide 29,Informática,11,1845.99,0.1,1160.8,Pix
2025-11-11,PED-2025-00051,Horizonte Comercial 105,DF,Brasília,Fernanda Alves,Roteador Empresarial,Conectividade,7,783.44,0.05,368.11,Cartão de débito
2025-11-11,PED-2025-00051,Horizonte Comercial 105,DF,Brasília,Fernanda Alves,Mouse Sem Fio,Acessórios,5,145.29,0.0,67.13,Cartão de débito
2025-11-11,PED-2025-00051,Horizonte Comercial 105,DF,Brasília,Fernanda Alves,Gaveteiro Executivo,Móveis,1,694.45,0.03,355.35,Cartão de débito
2025-09-04,PED-2025-00052,Horizonte Serviços 085,SP,Santos,Juliana Mendes,Teclado Mecânico,Acessórios,2,374.36,0.0,197.84,Cartão de crédito
2025-01-23,PED-2025-00053,Aurora Soluções 112,SP,São Paulo,Camila Rocha,Roteador Empresarial,Conectividade,1,740.78,0.0,369.32,Boleto
2025-06-28,PED-2025-00054,Alfa Tecnologia 051,SC,Joinville,Gustavo Ribeiro,Webcam Full HD,Acessórios,4,269.9,0.0,136.53,Transferência
2025-05-01,PED-2025-00055,Aurora Logística 042,SP,Ribeirão Preto,Juliana Mendes,Mouse Sem Fio,Acessórios,1,143.97,0.1,68.91,Pix
2025-05-01,PED-2025-00055,Aurora Logística 042,SP,Ribeirão Preto,Juliana Mendes,Gaveteiro Executivo,Móveis,3,715.53,0.0,377.53,Pix
2025-01-12,PED-2025-00056,Central Serviços 133,MG,Juiz de Fora,Lucas Barros,Teclado Mecânico,Acessórios,3,388.83,0.03,187.29,Boleto
2025-01-12,PED-2025-00056,Central Serviços 133,MG,Juiz de Fora,Lucas Barros,Switch 24 Portas,Conectividade,3,1077.12,0.0,622.67,Boleto
2025-12-26,PED-2025-00057,Central Tecnologia 163,SC,Florianópolis,Juliana Mendes,Monitor Ultrawide 29,Informática,3,1878.17,0.0,1126.55,Transferência
2025-12-26,PED-2025-00057,Central Tecnologia 163,SC,Florianópolis,Juliana Mendes,Kit Toner Colorido,Impressão,8,853.88,0.12,417.81,Transferência
2025-04-26,PED-2025-00058,Nova Comercial 137,MG,Belo Horizonte,Bruno Costa,Teclado Mecânico,Acessórios,1,395.21,0.0,197.99,Pix
2025-04-26,PED-2025-00058,Nova Comercial 137,MG,Belo Horizonte,Bruno Costa,Toner Preto,Impressão,2,332.23,0.05,148.55,Pix
2025-04-10,PED-2025-00059,Horizonte Serviços 125,RS,Pelotas,Camila Rocha,Cadeira Ergonômica,Móveis,2,1399.48,0.05,751.97,Transferência
2025-10-04,PED-2025-00060,Nova Engenharia 087,PE,Olinda,Bruno Costa,Mouse Sem Fio,Acessórios,1,153.8,0.12,67.76,Pix
2025-10-04,PED-2025-00060,Nova Engenharia 087,PE,Olinda,Bruno Costa,Access Point Wi-Fi 6,Conectividade,2,912.96,0.1,482.73,Pix
2025-10-04,PED-2025-00060,Nova Engenharia 087,PE,Olinda,Bruno Costa,Filtro de Linha Premium,Energia,1,124.44,0.1,49.83,Pix
2025-09-07,PED-2025-00061,Conecta Distribuidora 164,SP,Campinas,Diego Lima,Kit Toner Colorido,Impressão,2,869.09,0.08,409.32,Transferência
2025-01-09,PED-2025-00062,Central Serviços 133,RJ,Rio de Janeiro,Fernanda Alves,Headset Corporativo,Acessórios,3,321.54,0.08,157.01,Boleto
2025-12-08,PED-2025-00063,Conecta Varejo 054,GO,Aparecida de Goiânia,Bruno Costa,Teclado Mecânico,Acessórios,1,390.74,0.0,186.85,Cartão de crédito
2025-12-08,PED-2025-00063,Conecta Varejo 054,GO,Aparecida de Goiânia,Bruno Costa,Mouse Sem Fio,Acessórios,1,152.71,0.05,66.49,Cartão de crédito
2025-02-06,PED-2025-00064,Horizonte Comercial 065,SP,São Paulo,Camila Rocha,Filtro de Linha Premium,Energia,5,116.15,0.1,51.67,Cartão de débito
2025-02-06,PED-2025-00064,Horizonte Comercial 065,SP,São Paulo,Camila Rocha,Notebook Essencial 14,Informática,1,2840.27,0.0,2079.86,Cartão de débito
2025-02-06,PED-2025-00064,Horizonte Comercial 065,SP,São Paulo,Camila Rocha,Monitor Ultrawide 29,Informática,1,1766.09,0.03,1158.07,Cartão de débito
2025-10-07,PED-2025-00065,Vértice Logística 170,RS,Porto Alegre,Ana Martins,Filtro de Linha Premium,Energia,1,124.24,0.0,50.95,Transferência
2025-03-17,PED-2025-00066,Conecta Varejo 054,MG,Belo Horizonte,Lucas Barros,Headset Corporativo,Acessórios,6,321.49,0.12,163.08,Cartão de débito
2025-03-17,PED-2025-00066,Conecta Varejo 054,MG,Belo Horizonte,Lucas Barros,Mesa Ajustável,Móveis,2,1857.69,0.05,1047.86,Cartão de débito
2025-09-17,PED-2025-00067,Prime Serviços 029,MG,Uberlândia,Camila Rocha,Filtro de Linha Premium,Energia,3,117.35,0.0,49.58,Transferência
2025-02-15,PED-2025-00068,Aurora Logística 202,SP,São Paulo,Ana Martins,Webcam Full HD,Acessórios,2,293.61,0.1,134.89,Cartão de crédito
2025-04-28,PED-2025-00069,Conecta Logística 034,MG,Juiz de Fora,Juliana Mendes,Headset Corporativo,Acessórios,2,339.0,0.1,155.6,Boleto
2025-12-03,PED-2025-00070,Nova Comercial 097,GO,Anápolis,Camila Rocha,Teclado Mecânico,Acessórios,3,396.49,0.05,198.63,Pix
2025-12-03,PED-2025-00070,Nova Comercial 097,GO,Anápolis,Camila Rocha,Notebook Essencial 14,Informática,1,2894.33,0.08,2044.2,Pix
2025-12-03,PED-2025-00070,Nova Comercial 097,GO,Anápolis,Camila Rocha,Webcam Full HD,Acessórios,4,277.34,0.0,134.31,Pix
2025-08-22,PED-2025-00071,Prime Comercial 009,BA,Feira de Santana,Lucas Barros,Filtro de Linha Premium,Energia,2,125.33,0.03,52.11,Transferência
2025-08-22,PED-2025-00071,Prime Comercial 009,BA,Feira de Santana,Lucas Barros,Mesa Ajustável,Móveis,2,1895.84,0.05,1074.84,Transferência
2025-06-14,PED-2025-00072,Central Engenharia 143,RJ,Rio de Janeiro,Diego Lima,Monitor Ultrawide 29,Informática,3,1824.0,0.08,1126.81,Boleto
2025-05-05,PED-2025-00073,Conecta Distribuidora 044,RJ,Petrópolis,Bruno Costa,Toner Preto,Impressão,2,319.95,0.0,148.52,Cartão de débito
2025-10-12,PED-2025-00074,Horizonte Serviços 045,GO,Aparecida de Goiânia,Lucas Barros,Impressora Multifuncional,Impressão,5,1624.48,0.0,1007.98,Cartão de crédito
2025-10-12,PED-2025-00074,Horizonte Serviços 045,GO,Aparecida de Goiânia,Lucas Barros,Teclado Mecânico,Acessórios,2,389.88,0.12,197.72,Cartão de crédito
2025-10-12,PED-2025-00074,Horizonte Serviços 045,GO,Aparecida de Goiânia,Lucas Barros,Headset Corporativo,Acessórios,1,331.25,0.08,156.96,Cartão de crédito
2025-07-17,PED-2025-00075,Alfa Comercial 201,SP,Campinas,Lucas Barros,Kit Toner Colorido,Impressão,1,894.85,0.0,400.16,Cartão de débito
2025-07-17,PED-2025-00075,Alfa Comercial 201,SP,Campinas,Lucas Barros,Roteador Empresarial,Conectividade,3,733.79,0.1,379.13,Cartão de débito
2025-07-17,PED-2025-00075,Alfa Comercial 201,SP,Campinas,Lucas Barros,Webcam Full HD,Acessórios,1,277.17,0.1,135.79,Cartão de débito
2025-12-04,PED-2025-00076,Alfa Tecnologia 171,SP,Santos,Fernanda Alves,Mouse Sem Fio,Acessórios,7,145.77,0.1,67.25,Boleto
2025-12-04,PED-2025-00076,Alfa Tecnologia 171,SP,Santos, FERNANDA ALVES ,Monitor Ultrawide 29,Informática,3,1736.42,0.1,1139.52,Boleto
2025-12-04,PED-2025-00076,Alfa Tecnologia 171,SP,Santos,Fernanda Alves,Webcam Full HD,Acessórios,2,281.32,0.08,134.07,Boleto
2025-02-12,PED-2025-00077,Integra Varejo 006,DF,Brasília,Lucas Barros,Kit Toner Colorido,Impressão,5,880.33,0.05,394.31,Cartão de crédito
2025-05-15,PED-2025-00078,Aurora Soluções 072,RJ,Petrópolis,Juliana Mendes,Webcam Full HD,Acessórios,6,281.08,0.12,129.37,Cartão de débito
2025-05-15,PED-2025-00078,Aurora Soluções 072,RJ,Petrópolis,Juliana Mendes,Teclado Mecânico,Acessórios,2,379.69,0.05,187.15,Cartão de débito
2025-07-06,PED-2025-00079,Vértice Distribuidora 020,SP,São Paulo,Diego Lima,Toner Preto,Impressão,7,320.19,0.1,150.03,Cartão de crédito
2025-07-21,PED-2025-00080,Vértice Logística 010,BA,Feira de Santana,Ana Martins,Teclado Mecânico,Acessórios,2,390.61,0.03,189.19,Boleto
2025-07-21,PED-2025-00080,Vértice Logística 010,BA,Feira de Santana,Ana Martins,Roteador Empresarial,Conectividade,1,727.06,0.0,361.5,Boleto
2025-03-01,PED-2025-00081,Conecta Varejo 014,BA,Salvador,Diego Lima,Toner Preto,Impressão,4,341.75,0.15,150.54,Transferência
2025-06-15,PED-2025-00082,Horizonte Comercial 105,SP,São Paulo,Gustavo Ribeiro,Gaveteiro Executivo,Móveis,11,664.05,0.0,369.42,Pix
2025-06-15,PED-2025-00082,Horizonte Comercial 105,SP,São Paulo,Gustavo Ribeiro,Mesa Ajustável,Móveis,1,1845.71,0.1,1068.98,Pix
2025-05-08,PED-2025-00083,Nova Engenharia 167,RJ,Niterói,Camila Rocha,Gaveteiro Executivo,Móveis,1,662.47,0.0,376.9,Cartão de crédito
2025-10-10,PED-2025-00084,Horizonte Comercial 185,SP,Santos,Lucas Barros,Filtro de Linha Premium,Energia,4,121.43,0.0,51.9,Boleto
2025-01-10,PED-2025-00085,Aurora Distribuidora 092,SP,São Paulo,Bruno Costa,Monitor Ultrawide 29,Informática,1,1776.52,0.0,1154.22,Boleto
2025-05-05,PED-2025-00086,Central Serviços 093, pr ,Curitiba,Bruno Costa,Notebook Essencial 14,Informática,1,2970.59,0.1,2033.78,Transferência
2025-05-05,PED-2025-00086,Central Serviços 093,PR,Curitiba,Bruno Costa,Monitor Ultrawide 29,Informática,4,1783.04,0.03,1202.23,Transferência
2025-05-05,PED-2025-00086,Central Serviços 093,PR,Curitiba,Bruno Costa,Toner Preto,Impressão,3,320.88,0.15,146.72,Transferência
2025-07-13,PED-2025-00087,Prime Serviços 109,DF,Brasília,Lucas Barros,Monitor Ultrawide 29,Informática,4,1857.94,0.08,1154.32,Boleto
2025-07-13,PED-2025-00087,Prime Serviços 109,DF,Brasília,Lucas Barros,Teclado Mecânico,Acessórios,1,396.52,0.12,198.78,Boleto
2025-05-19,PED-2025-00088,Central Comercial 073,RJ,Petrópolis,Camila Rocha,Toner Preto,Impressão,1,326.08,0.03,142.59,Cartão de crédito
2025-06-14,PED-2025-00089,Vértice Soluções 160,SP,Santos,Lucas Barros,Roteador Empresarial,Conectividade,1,759.31,0.08,358.31,Pix
2025-06-14,PED-2025-00089,Vértice Soluções 160,SP,Santos,Lucas Barros,Teclado Mecânico,Acessórios,7,406.72,0.05,186.3,Pix
2025-05-23,PED-2025-00090,Vértice Varejo 150,SP,Ribeirão Preto,Lucas Barros,Access Point Wi-Fi 6,Conectividade,4,917.41,0.03,493.06,Pix
2025-05-23,PED-2025-00090,Vértice Varejo 150,SP,Ribeirão Preto,Lucas Barros,Cadeira Ergonômica,Móveis,8,1368.22,0.0,788.67,Pix
2025-07-25,PED-2025-00091,Prime Engenharia 119,MG,Belo Horizonte,Bruno Costa,Mouse Sem Fio,Acessórios,2,145.27,0.1,68.25,Transferência
2025-07-25,PED-2025-00091,Prime Engenharia 119,MG,Belo Horizonte,Bruno Costa,Impressora Multifuncional,Impressão,2,1613.29,0.05,1005.86,Transferência
2025-12-19,PED-2025-00092,Nova Tecnologia 027,RJ,Rio de Janeiro,Lucas Barros,Teclado Mecânico,Acessórios,8,392.57,0.05,195.52,Cartão de débito
2025-10-18,PED-2025-00093,Ponto Distribuidora 148,SP,Santos,Ana Martins,Webcam Full HD,Acessórios,3,272.22,0.0,131.22,Cartão de crédito
2025-05-18,PED-2025-00094,,SP,Santos,Bruno Costa,Notebook Essencial 14,Informática,2,2886.52,0.0,2034.99,Cartão de débito
2025-05-18,PED-2025-00094,Prime Comercial 209,SP,Santos,Bruno Costa,Toner Preto,Impressão,1,317.04,0.08,144.7,Cartão de débito
2025-05-18,PED-2025-00094,Prime Comercial 209,SP,Santos,Bruno Costa,Nobreak 1500VA,Energia,2,1242.63,0.1,660.3,Cartão de débito
2025-05-28,PED-2025-00095,Conecta Soluções 184,SP,São Paulo,Lucas Barros,Gaveteiro Executivo,Móveis,4,681.69,0.0,361.36,Cartão de crédito
2025-05-28,PED-2025-00095,Conecta Soluções 184,SP,São Paulo,Lucas Barros,Headset Corporativo,Acessórios,1,342.46,0.08,162.44,Cartão de crédito
2025-05-28,PED-2025-00095,Conecta Soluções 184,SP,São Paulo,Lucas Barros,Webcam Full HD,Acessórios,4,292.47,0.0,135.39,Cartão de crédito
2025-02-26,PED-2025-00096,Vértice Soluções 120,MG,Uberlândia,Lucas Barros,Cadeira Ergonômica,Móveis,2,1383.38,0.0,751.07,Transferência
2025-02-26,PED-2025-00096,Vértice Soluções 120,MG,Uberlândia,Lucas Barros,Webcam Full HD,Acessórios,3,292.15,0.08,128.37,Transferência
2025-11-25,PED-2025-00097,Integra Varejo 046,SP,Ribeirão Preto,Camila Rocha,Filtro de Linha Premium,Energia,1,115.63,0.0,49.7,Pix
2025-12-23,PED-2025-00098,Integra Varejo 126,SP,São Paulo,,Mouse Sem Fio,Acessórios,10,156.7,0.03,66.39,Cartão de crédito
2025-12-23,PED-2025-00098,Integra Varejo 126,SP,São Paulo,Camila Rocha,Switch 24 Portas,Conectividade,10,1170.53,0.03,"R$ 624,61",Cartão de crédito
2025-11-30,PED-2025-00099,Alfa Comercial 041,MG,Uberlândia,Fernanda Alves,Webcam Full HD,Acessórios,4,292.3,0.0,129.03,Cartão de crédito
2025-11-30,PED-2025-00099,Alfa Comercial 041,MG,Uberlândia,Fernanda Alves,Mouse Sem Fio,Acessórios,1,150.76,0.05,70.7,Cartão de crédito
2025-04-28,PED-2025-00100,Integra Logística 106,MG,Uberlândia,Lucas Barros,Mouse Sem Fio,Acessórios,3,150.23,0.12,68.22,Pix
2025-04-28,PED-2025-00100,Integra Logística 106,MG,Uberlândia,Lucas Barros,Toner Preto,Impressão,2,335.03,0.1,146.0,Pix
2025-06-03,PED-2025-00101,Prime Serviços 189,PR,Curitiba,Juliana Mendes,Toner Preto,Impressão,1,339.89,0.05,149.15,Boleto
2025-06-03,PED-2025-00101,Prime Serviços 189,PR,Curitiba,Juliana Mendes,Filtro de Linha Premium,Energia,1,123.15,0.0,50.18,Boleto
2025-08-19,PED-2025-00102,Horizonte Serviços 165,PR,Curitiba,Bruno Costa,Filtro de Linha Premium,Energia,2,118.25,0.05,52.62,Pix
2025-11-23,PED-2025-00103,Integra Distribuidora 156,RS,Porto Alegre,Juliana Mendes,Monitor Ultrawide 29,Informática,3,1738.9,0.05,1182.45,Boleto
2025-03-05,PED-2025-00104,Integra Logística 106,SP,Campinas,Bruno Costa,Webcam Full HD,Acessórios,2,273.15,0.05,131.66,Cartão de crédito
2025-03-05,PED-2025-00104,Integra Logística 106,SP,Campinas,Bruno Costa,Switch 24 Portas,Conectividade,1,1106.84,0.0,597.29,Cartão de crédito
