data,categoria,descricao,tipo,valor
2025-03-12,Despesas administrativas,Materiais e serviços gerais,Variável,452.67
2025-03-14,Salários,Folha de pagamento,Fixa,15526.43
2025-03-16,Logística,Fretes e armazenagem,Variável,3556.99
2025-03-17,Marketing,Campanhas e conteúdo,Variável,2290.3
2025-03-19,Energia,Energia elétrica,Variável,925.23
2025-03-19,Fornecedores,Serviços terceirizados,Variável,1679.38
2025-03-19,Software,Licenças e assinaturas,Fixa,1005.23
2025-03-20,Despesas administrativas,Materiais e serviços gerais,Variável,1229.01
2025-03-21,Logística,Fretes e armazenagem,Variável,3266.79
2025-03-23,Logística,Fretes e armazenagem,Variável,2375.82
2025-03-24,Fornecedores,Serviços terceirizados,Variável,1252.26
2025-03-24,Logística,Fretes e armazenagem,Variável,3835.06
2025-03-25,Logística,Fretes e armazenagem,Variável,3200.63
2025-03-25,Software,Licenças e assinaturas,Fixa,967.65
2025-03-26,Software,Licenças e assinaturas,Fixa,1221.28
2025-03-28,Energia,Energia elétrica,Variável,249.91
2025-03-28,Fornecedores,Serviços terceirizados,Variável,1865.19
2025-03-28,Logística,Fretes e armazenagem,Variável,3609.3
2025-03-28,Logística,Fretes e armazenagem,Variável,2322.43
2025-03-28,Marketing,Campanhas e conteúdo,Variável,3159.79
2025-03-29,Logística,Fretes e armazenagem,Variável,3228.11
2025-04-02,Salários,Folha de pagamento,Fixa,11616.6
2025-04-02,Software,Licenças e assinaturas,Fixa,1062.71
2025-04-03,Aluguel,Locação do escritório,Fixa,4378.45
2025-04-03,Marketing,Campanhas e conteúdo,Variável,2573.38
2025-04-04,Salários,Folha de pagamento,Fixa,10508.21
2025-04-04,Software,Licenças e assinaturas,Fixa,1523.81
2025-04-09,Marketing,Campanhas e conteúdo,Variável,2357.89
2025-04-10,Logística,Fretes e armazenagem,Variável,3596.03
2025-04-11,Logística,Fretes e armazenagem,Variável,3541.91
2025-04-12,Energia,Energia elétrica,Variável,1215.11
2025-04-14,Despesas administrativas,Materiais e serviços gerais,Variável,1188.65
2025-04-14,Energia,Energia elétrica,Variável,1084.23
2025-04-14,Salários,Folha de pagamento,Fixa,13415.37
2025-04-15,Fornecedores,Serviços terceirizados,Variável,2119.42
2025-04-15,Marketing,Campanhas e conteúdo,Variável,3013.26
2025-04-15,Salários,Folha de pagamento,Fixa,17129.82
2025-04-16,Energia,Energia elétrica,Variável,942.76
2025-04-18,Despesas administrativas,Materiais e serviços gerais,Variável,1257.79
2025-04-18,Logística,Fretes e armazenagem,Variável,3133.81
2025-04-19,Energia,Energia elétrica,Variável,991.81
2025-04-23,Despesas administrativas,Materiais e serviços gerais,Variável,1109.67
2025-04-25,Marketing,Campanhas e conteúdo,Variável,2241.78
2025-04-26,Logística,Fretes e armazenagem,Variável,3762.83
2025-04-26,Logística,Fretes e armazenagem,Variável,3623.23
2025-04-26,Marketing,Campanhas e conteúdo,Variável,2031.72
2025-04-28,Despesas administrativas,Materiais e serviços gerais,Variável,1149.07
2025-05-01,Despesas administrativas,Materiais e serviços gerais,Variável,945.57
2025-05-01,Software,Licenças e assinaturas,Fixa,1298.83
2025-05-03,Fornecedores,Serviços terceirizados,Variável,1287.27
2025-05-05,Despesas administrativas,Materiais e serviços gerais,Variável,1264.23
2025-05-06,Despesas administrativas,Materiais e serviços gerais,Variável,834.61
2025-05-06,Fornecedores,Serviços terceirizados,Variável,2480.9
2025-05-07,Fornecedores,Serviços terceirizados,Variável,2601.93
2025-05-07,Software,Licenças e assinaturas,Fixa,1049.24
2025-05-08,Marketing,Campanhas e conteúdo,Variável,2605.43
2025-05-09,Logística,Fretes e armazenagem,Variável,2281.65
2025-05-10,Logística,Fretes e armazenagem,Variável,4157.41
2025-05-12,Aluguel,Locação do escritório,Fixa,5977.97
2025-05-12,Fornecedores,Serviços terceirizados,Variável,1708.5
2025-05-14,Marketing,Campanhas e conteúdo,Variável,1637.21
2025-05-18,Despesas administrativas,Materiais e serviços gerais,Variável,1077.09
2025-05-18,Energia,Energia elétrica,Variável,887.09
2025-05-18,Logística,Fretes e armazenagem,Variável,3878.91
2025-05-19,Logística,Fretes e armazenagem,Variável,3291.67
2025-05-20,Aluguel,Locação do escritório,Fixa,5007.61
2025-05-20,Software,Licenças e assinaturas,Fixa,1493.04
2025-05-21,Fornecedores,Serviços terceirizados,Variável,3415.13
2025-05-22,Fornecedores,Serviços terceirizados,Variável,2272.44
2025-05-25,Despesas administrativas,Materiais e serviços gerais,Variável,820.89
2025-05-25,Logística,Fretes e armazenagem,Variável,3527.55
2025-05-26,Despesas administrativas,Materiais e serviços gerais,Variável,932.64
2025-05-27,Salários,Folha de pagamento,Fixa,14650.15
2025-05-27,Salários,Folha de pagamento,Fixa,12779.04
2025-05-27,Software,Licenças e assinaturas,Fixa,1018.86
2025-05-28,Aluguel,Locação do escritório,Fixa,6676.67
2025-05-28,Salários,Folha de pagamento,Fixa,14134.46
2025-05-29,Fornecedores,Serviços terceirizados,Variável,2481.97
2025-05-29,Logística,Fretes e armazenagem,Variável,3909.72
2025-05-30,Fornecedores,Serviços terceirizados,Variável,2654.93
2025-05-30,Software,Licenças e assinaturas,Fixa,1289.27
2025-05-31,Despesas administrativas,Materiais e serviços gerais,Variável,1065.61
2025-05-31,Energia,Energia elétrica,Variável,882.95
2025-05-31,Marketing,Campanhas e conteúdo,Variável,2197.4
2025-06-01,Logística,Fretes e armazenagem,Variável,3786.84
2025-06-01,Logística,Fretes e armazenagem,Variável,3147.56
2025-06-03,Energia,Energia elétrica,Variável,571.35
2025-06-03,Fornecedores,Serviços terceirizados,Variável,2897.3
2025-06-04,Fornecedores,Serviços terceirizados,Variável,2289.07
2025-06-04,Marketing,Campanhas e conteúdo,Variável,2371.04
2025-06-05,Fornecedores,Serviços terceirizados,Variável,1758.74
2025-06-05,Logística,Fretes e armazenagem,Variável,2762.86
2025-06-06,Fornecedores,Serviços terceirizados,Variável,2111.33
2025-06-06,Fornecedores,Serviços terceirizados,Variável,1561.74
2025-06-06,Logística,Fretes e armazenagem,Variável,2285.97
2025-06-07,Marketing,Campanhas e conteúdo,Variável,1785.77
2025-06-08,Logística,Fretes e armazenagem,Variável,2789.43
2025-06-09,Aluguel,Locação do escritório,Fixa,6292.5
2025-06-09,Despesas administrativas,Materiais e serviços gerais,Variável,1268.31
2025-06-09,Logística,Fretes e armazenagem,Variável,2915.99
2025-06-09,Salários,Folha de pagamento,Fixa,13084.13
2025-06-11,Despesas administrativas,Materiais e serviços gerais,Variável,1019.02
2025-06-11,Logística,Fretes e armazenagem,Variável,2803.29
2025-06-11,Logística,Fretes e armazenagem,Variável,2451.49
2025-06-12,Despesas administrativas,Materiais e serviços gerais,Variável,1029.16
2025-06-12,Fornecedores,Serviços terceirizados,Variável,2380.87
2025-06-13,Fornecedores,Serviços terceirizados,Variável,2184.86
2025-06-13,Marketing,Campanhas e conteúdo,Variável,2958.74
2025-06-14,Despesas administrativas,Materiais e serviços gerais,Variável,711.96
2025-06-15,Marketing,Campanhas e conteúdo,Variável,2300.17
2025-06-16,Energia,Energia elétrica,Variável,959.41
2025-06-16,Marketing,Despesa sem descrição,Variável,1878.03
2025-06-23,Despesas administrativas,Materiais e serviços gerais,Variável,1277.9
2025-06-23,Marketing,Campanhas e conteúdo,Variável,2096.59
2025-06-28,Marketing,Campanhas e conteúdo,Variável,3325.53
2025-06-29,Energia,Energia elétrica,Variável,881.14
2025-07-01,Despesas administrativas,Materiais e serviços gerais,Variável,1042.76
2025-07-02,Energia,Energia elétrica,Variável,980.02
2025-07-02,Fornecedores,Despesa sem descrição,Variável,1914.98
2025-07-02,Logística,Fretes e armazenagem,Variável,2436.52
2025-07-03,Logística,Fretes e armazenagem,Variável,2678.58
2025-07-04,Logística,Fretes e armazenagem,Variável,2022.14
2025-07-04,Marketing,Campanhas e conteúdo,Variável,1769.39
2025-07-05,Marketing,Campanhas e conteúdo,Variável,3379.28
2025-07-06,Despesas administrativas,Materiais e serviços gerais,Variável,899.39
2025-07-11,Logística,Fretes e armazenagem,Variável,3509.0
2025-07-11,Salários,Folha de pagamento,Fixa,13430.69
2025-07-13,Salários,Despesa sem descrição,Fixa,8049.54
2025-07-15,Energia,Energia elétrica,Variável,735.6
2025-07-15,Fornecedores,Serviços terceirizados,Variável,2379.89
2025-07-16,Energia,Energia elétrica,Variável,1007.88
2025-07-18,Logística,Fretes e armazenagem,Variável,2931.65
2025-07-19,Logística,Fretes e armazenagem,Variável,3023.85
2025-07-21,Software,Licenças e assinaturas,Fixa,1223.05
2025-07-22,Fornecedores,Serviços terceirizados,Variável,1992.37
2025-07-26,Marketing,Campanhas e conteúdo,Variável,2549.08
2025-07-28,Despesas administrativas,Materiais e serviços gerais,Variável,1163.2
2025-07-28,Energia,Energia elétrica,Variável,846.41
2025-07-29,Logística,Fretes e armazenagem,Variável,3237.68
2025-07-31,Fornecedores,Serviços terceirizados,Variável,2318.85
2025-08-02,Despesas administrativas,Materiais e serviços gerais,Variável,1186.92
2025-08-03,Salários,Folha de pagamento,Fixa,6957.1
2025-08-03,Salários,Folha de pagamento,Fixa,9135.62
2025-08-03,Software,Licenças e assinaturas,Fixa,1269.38
2025-08-04,Fornecedores,Serviços terceirizados,Variável,1438.31
2025-08-05,Energia,Energia elétrica,Variável,887.0
2025-08-05,Fornecedores,Serviços terceirizados,Variável,2086.24
2025-08-06,Energia,Energia elétrica,Variável,973.23
2025-08-07,Aluguel,Locação do escritório,Fixa,6298.38
2025-08-07,Salários,Folha de pagamento,Fixa,12874.75
2025-08-08,Marketing,Campanhas e conteúdo,Variável,2112.87
2025-08-09,Energia,Energia elétrica,Variável,1025.22
2025-08-09,Fornecedores,Serviços terceirizados,Variável,2186.02
2025-08-10,Salários,Folha de pagamento,Fixa,14753.97
2025-08-13,Energia,Energia elétrica,Variável,711.31
2025-08-16,Despesas administrativas,Materiais e serviços gerais,Variável,1155.31
2025-08-16,Salários,Folha de pagamento,Fixa,10231.28
2025-08-17,Aluguel,Locação do escritório,Fixa,6402.76
2025-08-17,Despesas administrativas,Materiais e serviços gerais,Variável,1370.76
2025-08-17,Software,Licenças e assinaturas,Fixa,1148.79
2025-08-19,Logística,Fretes e armazenagem,Variável,2702.35
2025-08-20,Energia,Energia elétrica,Variável,791.02
2025-08-21,Energia,Energia elétrica,Variável,992.83
2025-08-21,Salários,Folha de pagamento,Fixa,12460.59
2025-08-22,Logística,Fretes e armazenagem,Variável,2736.7
2025-08-23,Fornecedores,Serviços terceirizados,Variável,2475.78
2025-08-24,Aluguel,Locação do escritório,Fixa,5881.82
2025-08-25,Salários,Folha de pagamento,Fixa,11794.49
2025-08-25,Software,Licenças e assinaturas,Fixa,1071.3
2025-08-26,Fornecedores,Serviços terceirizados,Variável,2205.04
2025-08-26,Logística,Fretes e armazenagem,Variável,2688.43
2025-08-26,Logística,Fretes e armazenagem,Variável,3755.88
2025-08-27,Logística,Fretes e armazenagem,Variável,1540.13
2025-08-28,Energia,Energia elétrica,Variável,1175.07
2025-08-29,Logística,Fretes e armazenagem,Variável,2968.31
2025-08-29,Logística,Fretes e armazenagem,Variável,3594.68
2025-08-30,Despesas administrativas,Materiais e serviços gerais,Variável,1312.21
2025-09-01,Aluguel,Locação do escritório,Fixa,7568.83
2025-09-01,Energia,Energia elétrica,Variável,1052.59
2025-09-01,Software,Licenças e assinaturas,Fixa,1385.51
2025-09-03,Logística,Fretes e armazenagem,Variável,2749.67
2025-09-04,Marketing,Campanhas e conteúdo,Variável,3024.6
2025-09-05,Energia,Energia elétrica,Variável,882.64
2025-09-06,Fornecedores,Serviços terceirizados,Variável,1890.55
2025-09-07,Aluguel,Locação do escritório,Fixa,5973.31
2025-09-08,Energia,Energia elétrica,Variável,763.32
2025-09-08,Logística,Fretes e armazenagem,Variável,2545.53
2025-09-08,Salários,Folha de pagamento,Fixa,12017.03
2025-09-13,Energia,Energia elétrica,Variável,815.45
2025-09-14,Marketing,Campanhas e conteúdo,Variável,2262.07
2025-09-15,Fornecedores,Serviços terceirizados,Variável,2240.5
2025-09-20,Logística,Fretes e armazenagem,Variável,2047.77
2025-09-20,Marketing,Campanhas e conteúdo,Variável,2059.2
2025-09-21,Marketing,Campanhas e conteúdo,Variável,2590.74
2025-09-22,Salários,Folha de pagamento,Fixa,12519.81
2025-09-23,Logística,Fretes e armazenagem,Variável,4131.72
2025-09-23,Logística,Fretes e armazenagem,Variável,3685.11
2025-09-24,Software,Licenças e assinaturas,Fixa,1442.31
2025-09-26,Marketing,Campanhas e conteúdo,Variável,3225.45
2025-09-28,Fornecedores,Serviços terceirizados,Variável,3142.49
2025-09-28,Fornecedores,Serviços terceirizados,Variável,2456.78
2025-09-28,Marketing,Campanhas e conteúdo,Variável,2127.0
2025-09-30,Fornecedores,Serviços terceirizados,Variável,2068.81
2025-09-30,Fornecedores,Serviços terceirizados,Variável,2357.88
2025-10-03,Aluguel,Locação do escritório,Fixa,5450.77
2025-10-03,Marketing,Campanhas e conteúdo,Variável,2799.05
2025-10-04,Logística,Fretes e armazenagem,Variável,3772.25
2025-10-06,Salários,Folha de pagamento,Fixa,15964.2
2025-10-09,Fornecedores,Serviços terceirizados,Variável,2697.29
2025-10-11,Fornecedores,Serviços terceirizados,Variável,2582.28
2025-10-12,Energia,Energia elétrica,Variável,466.55
2025-10-12,Marketing,Campanhas e conteúdo,Variável,2184.44
2025-10-12,Salários,Folha de pagamento,Fixa,6809.9
2025-10-14,Despesas administrativas,Materiais e serviços gerais,Variável,1137.97
2025-10-16,Logística,Fretes e armazenagem,Variável,3383.71
2025-10-16,Software,Licenças e assinaturas,Fixa,1087.46
2025-10-16,Software,Licenças e assinaturas,Fixa,1428.44
2025-10-17,Fornecedores,Serviços terceirizados,Variável,2100.52
2025-10-19,Aluguel,Locação do escritório,Fixa,5942.54
2025-10-20,Logística,Fretes e armazenagem,Variável,3468.89
2025-10-22,Energia,Energia elétrica,Variável,777.36
2025-10-22,Energia,Energia elétrica,Variável,966.85
2025-10-23,Salários,Folha de pagamento,Fixa,10600.17
2025-10-24,Fornecedores,Serviços terceirizados,Variável,2564.03
2025-10-24,Salários,Folha de pagamento,Fixa,9003.24
2025-10-25,Despesas administrativas,Materiais e serviços gerais,Variável,1106.06
2025-10-26,Marketing,Campanhas e conteúdo,Variável,2423.63
2025-10-28,Energia,Energia elétrica,Variável,864.68
2025-10-30,Salários,Folha de pagamento,Fixa,10457.24
2025-10-31,Fornecedores,Serviços terceirizados,Variável,2211.68
2025-11-01,Fornecedores,Serviços terceirizados,Variável,1726.95
2025-11-02,Despesas administrativas,Materiais e serviços gerais,Variável,1035.06
2025-11-06,Salários,Folha de pagamento,Fixa,12926.53
2025-11-07,Marketing,Campanhas e conteúdo,Variável,3346.14
2025-11-07,Software,Licenças e assinaturas,Fixa,1302.34
2025-11-07,Software,Licenças e assinaturas,Fixa,1131.65
2025-11-09,Energia,Energia elétrica,Variável,773.43
2025-11-09,Logística,Fretes e armazenagem,Variável,3371.73
2025-11-10,Despesas administrativas,Materiais e serviços gerais,Variável,1398.06
2025-11-10,Salários,Folha de pagamento,Fixa,12730.02
2025-11-12,Salários,Folha de pagamento,Fixa,8780.97
2025-11-13,Fornecedores,Serviços terceirizados,Variável,1940.32
2025-11-15,Fornecedores,Serviços terceirizados,Variável,1753.41
2025-11-16,Energia,Energia elétrica,Variável,900.78
2025-11-16,Marketing,Campanhas e conteúdo,Variável,3356.34
2025-11-18,Fornecedores,Serviços terceirizados,Variável,2709.36
2025-11-20,Logística,Fretes e armazenagem,Variável,3561.5
2025-11-22,Salários,Folha de pagamento,Fixa,11600.23
2025-11-23,Fornecedores,Serviços terceirizados,Variável,2257.2
2025-11-24,Despesas administrativas,Materiais e serviços gerais,Variável,1121.96
2025-11-24,Despesas administrativas,Materiais e serviços gerais,Variável,1037.16
2025-11-24,Fornecedores,Serviços terceirizados,Variável,2491.13
2025-11-25,Marketing,Campanhas e conteúdo,Variável,2307.39
2025-11-25,Marketing,Campanhas e conteúdo,Variável,2236.47
2025-11-26,Fornecedores,Serviços terceirizados,Variável,2213.21
2025-11-28,Aluguel,Locação do escritório,Fixa,5384.86
2025-11-28,Marketing,Campanhas e conteúdo,Variável,2140.57
2025-11-28,Marketing,Campanhas e conteúdo,Variável,2898.69
2025-11-29,Despesas administrativas,Materiais e serviços gerais,Variável,1153.11
2025-11-30,Despesas administrativas,Materiais e serviços gerais,Variável,1077.79
2025-11-30,Despesas administrativas,Materiais e serviços gerais,Variável,1170.19
2025-11-30,Despesas administrativas,Materiais e serviços gerais,Variável,782.46
2025-11-30,Marketing,Campanhas e conteúdo,Variável,2624.65
2025-11-30,Salários,Folha de pagamento,Fixa,12066.47
2025-12-04,Marketing,Campanhas e conteúdo,Variável,3175.28
2025-12-05,Aluguel,Locação do escritório,Fixa,6028.17
2025-12-08,Fornecedores,Serviços terceirizados,Variável,2550.64
2025-12-08,Salários,Folha de pagamento,Fixa,11303.27
2025-12-11,Logística,Fretes e armazenagem,Variável,4260.08
2025-12-12,Marketing,Campanhas e conteúdo,Variável,2609.71
2025-12-14,Despesas administrativas,Materiais e serviços gerais,Variável,944.79
2025-12-14,Fornecedores,Serviços terceirizados,Variável,1910.51
2025-12-14,Fornecedores,Serviços terceirizados,Variável,2869.14
2025-12-14,Software,Licenças e assinaturas,Fixa,1344.75
2025-12-16,Despesas administrativas,Materiais e serviços gerais,Variável,1097.86
2025-12-16,Logística,Fretes e armazenagem,Variável,3789.76
2025-12-20,Despesas administrativas,Materiais e serviços gerais,Variável,1226.28
2025-12-22,Logística,Fretes e armazenagem,Variável,2819.54
2025-12-23,Logística,Fretes e armazenagem,Variável,3620.71
2025-12-24,Software,Licenças e assinaturas,Fixa,888.18
2025-12-25,Logística,Fretes e armazenagem,Variável,3387.68
2025-12-27,Fornecedores,Serviços terceirizados,Variável,2373.82
2025-12-27,Marketing,Campanhas e conteúdo,Variável,2947.89
2025-12-28,Aluguel,Locação do escritório,Fixa,6875.56
2025-12-28,Logística,Fretes e armazenagem,Variável,5363.39
2025-12-28,Logística,Fretes e armazenagem,Variável,3700.21
2025-12-31,Despesas administrativas,Materiais e serviços gerais,Variável,1068.98
2025-12-31,Logística,Fretes e armazenagem,Variável,3100.55
